X	u
0	0
0.1	7.85822e-26
0.2	6.51405e-24
0.3	2.66877e-22
0.4	7.20439e-21
0.5	1.44149e-19
0.6	2.28e-18
0.7	2.96925e-17
0.8	3.27441e-16
0.9	3.12105e-15
1	2.61181e-14
1.1	1.94267e-13
1.2	1.29717e-12
1.3	7.83945e-12
1.4	4.31768e-11
1.5	2.17984e-10
1.6	1.01388e-09
1.7	4.36341e-09
1.8	1.74425e-08
1.9	6.49838e-08
2	2.2632e-07
2.1	7.38825e-07
2.2	2.26633e-06
2.3	6.54693e-06
2.4	1.78472e-05
2.5	4.59985e-05
2.6	0.000112283
2.7	0.000260016
2.8	0.000572094
2.9	0.00119773
3	0.00238939
3.1	0.00454826
3.2	0.00827214
3.3	0.0143939
3.4	0.0239939
3.5	0.0383675
3.6	0.0589321
3.7	0.0870701
3.8	0.123917
3.9	0.170129
4	0.225666
4.1	0.289651
4.2	0.360327
4.3	0.435146
4.4	0.510959
4.5	0.584298
4.6	0.651664
4.7	0.709812
4.8	0.755965
4.9	0.787958
5	0.804325
5.1	0.804325
5.2	0.787958
5.3	0.755965
5.4	0.709812
5.5	0.651664
5.6	0.584298
5.7	0.510959
5.8	0.435146
5.9	0.360327
6	0.289651
6.1	0.225666
6.2	0.170129
6.3	0.123917
6.4	0.0870701
6.5	0.0589321
6.6	0.0383675
6.7	0.0239939
6.8	0.0143939
6.9	0.00827214
7	0.00454826
7.1	0.00238939
7.2	0.00119773
7.3	0.000572094
7.4	0.000260016
7.5	0.000112283
7.6	4.59985e-05
7.7	1.78472e-05
7.8	6.54693e-06
7.9	2.26633e-06
8	7.38825e-07
8.1	2.2632e-07
8.2	6.49838e-08
8.3	1.74425e-08
8.4	4.36341e-09
8.5	1.01388e-09
8.6	2.17984e-10
8.7	4.31768e-11
8.8	7.83945e-12
8.9	1.29717e-12
9	1.94267e-13
9.1	2.61181e-14
9.2	3.12105e-15
9.3	3.27441e-16
9.4	2.96925e-17
9.5	2.28e-18
9.6	1.44149e-19
9.7	7.20439e-21
9.8	2.66877e-22
9.9	6.51405e-24
10	7.85822e-26
