X,Y,U_exp,V_exp,u_theory,v_theory
0.005,0.005,0.503626,0.996374,0.503626,0.996374
0.015,0.005,0.503205,0.996795,0.503205,0.996795
0.025,0.005,0.502833,0.997167,0.502833,0.997167
0.035,0.005,0.502503,0.997497,0.502503,0.997497
0.045,0.005,0.502212,0.997788,0.502212,0.997788
0.055,0.005,0.501954,0.998046,0.501954,0.998046
0.065,0.005,0.501726,0.998274,0.501726,0.998274
0.075,0.005,0.501524,0.998476,0.501524,0.998476
0.085,0.005,0.501346,0.998654,0.501346,0.998654
0.095,0.005,0.501189,0.998811,0.501189,0.998811
0.105,0.005,0.50105,0.99895,0.50105,0.99895
0.115,0.005,0.500927,0.999073,0.500927,0.999073
0.125,0.005,0.500818,0.999182,0.500818,0.999182
0.135,0.005,0.500722,0.999278,0.500722,0.999278
0.145,0.005,0.500638,0.999362,0.500638,0.999362
0.155,0.005,0.500563,0.999437,0.500563,0.999437
0.165,0.005,0.500497,0.999503,0.500497,0.999503
0.175,0.005,0.500439,0.999561,0.500439,0.999561
0.185,0.005,0.500387,0.999613,0.500387,0.999613
0.195,0.005,0.500342,0.999658,0.500342,0.999658
0.205,0.005,0.500302,0.999698,0.500302,0.999698
0.215,0.005,0.500266,0.999734,0.500266,0.999734
0.225,0.005,0.500235,0.999765,0.500235,0.999765
0.235,0.005,0.500207,0.999793,0.500207,0.999793
0.245,0.005,0.500183,0.999817,0.500183,0.999817
0.255,0.005,0.500162,0.999838,0.500162,0.999838
0.265,0.005,0.500143,0.999857,0.500143,0.999857
0.275,0.005,0.500126,0.999874,0.500126,0.999874
0.285,0.005,0.500111,0.999889,0.500111,0.999889
0.295,0.005,0.500098,0.999902,0.500098,0.999902
0.305,0.005,0.500086,0.999914,0.500086,0.999914
0.315,0.005,0.500076,0.999924,0.500076,0.999924
0.325,0.005,0.500067,0.999933,0.500067,0.999933
0.335,0.005,0.500059,0.999941,0.500059,0.999941
0.345,0.005,0.500052,0.999948,0.500052,0.999948
0.355,0.005,0.500046,0.999954,0.500046,0.999954
0.365,0.005,0.500041,0.999959,0.500041,0.999959
0.375,0.005,0.500036,0.999964,0.500036,0.999964
0.385,0.005,0.500032,0.999968,0.500032,0.999968
0.395,0.005,0.500028,0.999972,0.500028,0.999972
0.405,0.005,0.500025,0.999975,0.500025,0.999975
0.415,0.005,0.500022,0.999978,0.500022,0.999978
0.425,0.005,0.500019,0.999981,0.500019,0.999981
0.435,0.005,0.500017,0.999983,0.500017,0.999983
0.445,0.005,0.500015,0.999985,0.500015,0.999985
0.455,0.005,0.500013,0.999987,0.500013,0.999987
0.465,0.005,0.500012,0.999988,0.500012,0.999988
0.475,0.005,0.50001,0.99999,0.50001,0.99999
0.485,0.005,0.500009,0.999991,0.500009,0.999991
0.495,0.005,0.500008,0.999992,0.500008,0.999992
0.505,0.005,0.500007,0.999993,0.500007,0.999993
0.515,0.005,0.500006,0.999994,0.500006,0.999994
0.525,0.005,0.500006,0.999994,0.500006,0.999994
0.535,0.005,0.500005,0.999995,0.500005,0.999995
0.545,0.005,0.500004,0.999996,0.500004,0.999996
0.555,0.005,0.500004,0.999996,0.500004,0.999996
0.565,0.005,0.500003,0.999997,0.500003,0.999997
0.575,0.005,0.500003,0.999997,0.500003,0.999997
0.585,0.005,0.500003,0.999997,0.500003,0.999997
0.595,0.005,0.500002,0.999998,0.500002,0.999998
0.605,0.005,0.500002,0.999998,0.500002,0.999998
