N,p,time
128,1,6.89245
128,2,3.8587
128,3,3.42926
128,4,2.51046
128,5,2.37155
128,6,2.04117
128,7,2.07132
128,8,1.81241
128,9,1.87051
128,10,1.94672
128,11,2.11436
128,12,2.14668
512,1,141.142
512,2,62.7291
512,3,43.6723
512,4,32.5422
512,5,27.5768
512,6,23.4107
512,7,21.2377
512,8,18.3914
512,9,17.0257
512,10,16.0683
512,11,15.6106
512,12,14.5759
1024,1,595.306
1024,2,293.709
1024,3,189.979
1024,4,155.712
1024,5,117.872
1024,6,100.691
1024,7,84.9875
1024,8,73.817
1024,9,67.9297
1024,10,61.4197
1024,11,59.3811
1024,12,54.3513
